"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2022055568","05","1","832 FOSTER AVE","","BENSENVILLE","IL","60106","GBU LOGISTICS INC","7736739009","080000","","","","","N","","","","","","","","","00","","","","1","02873844","08"
"2022056490","02","98","143 GAMEWELL ST","","HACKENSACK","NJ","07601","BENITEZ TRUCK LLC","6154971871","025995","","","","","N","","","","","","","","","00","","","","2","03229403","09"
"2022070525","99","4","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","099999","","","","","N","","","","","","","","","00","","","","1","09999999","99"
"2022072262","02","1","615 JB HUNT CORPORATE DR","","LOWELL","AZ","72745","JB HUNT TRANSPORT INC","4798200000","026000","","","","","N","","","","","","","","","00","","","","1","00080806","09"
"2022091391","02","98","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","012300","","","","","N","","","","","","","","","00","","","","1","","03"
"2022010818","03","1","18645 SW 103RD CT","","MIAMI","FL","33157","SOLER & SOLER CDL SCHOOL, CORP","7863467943","080000","","","","","N","","","","","","","","","00","","","","2","00864348","09"
"2022014714","99","99","UNK","","UNK","PA","99999","UNK","9999999999","012500","","","","","","","","","","","","","","00","","","","2","","99"
"2022029922","99","99","UNK","\","UNK","ZZ","99999","UNK","9999999999","011400","","","","","","","","","","","","","","00","","","","2","","99"
"2022115631","02","8","7700 STATE RD","","PHILADELPHIA","PA","19136","YELLOWBIRD BUS CO INC","2152891022","029800","","","","","N","","","","","","","","","00","","","","2","00273447","12"
"2022020271","05","11","203 FORT WADE RD SUITE 320","","PONTE VERDE","FL","32081","US 1 LOGISTICS LLC","2194761304","080000","","","","","N","","","","","","","","","00","","","","2","01348167","08"
"2022038768","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","00","","","","3","","13"
"2022055563","99","8","20 IRVEN STREET","","TRENTON","NJ","08638","STOUTS","8002457868","","","","","","N","","","","","","","","","00","","","","1","","15"
"2022070498","99","99","UNK","","UNK","PA","99999","DRISCOLL CONSTRUCTION CO INC","9999999999","025950","","","","","","","","","","","","","","00","","","","2","","99"
"2022071653","05","1","3116 MONTGOMERY RD STE C","","MAINEVILLE","OH","45039","AA TRANS LLC","5135281506","080000","","","","","N","","","","","","","02","","00","","","","2","03210705","09"
"2022071653","05","3","930 EARLEY LAKE PL","","BURNSVILLE","MN","55306","SAA LOGISTICS LLC","6125003518","080000","","","","","N","","","","","","","02","","00","","","","3","03348651","09"
"2022087022","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","00","","","","1","","13"
"2022024986","","99","UNKNOWN","","UNKNOWN","ZZ","99999-9999","UNKNOWN","9999999999","","","","","","","","","","","","U","","","","","","","1","99999999","99"
"2022038182","99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","","","","","","","","","","","","","","","00","","","","2","","13"
"2022093598","99","99","UNK","","HAVERTOWN","PA","99999","K &S TOWING AND RECOVERY INC","9999999999","","","","","","","","","","","","","","","00","","","","1","","99"
