"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
2021041582,"N","U","U","U","9","U","U","U","U","00000","N"," "," "," "," "," "," "," ","N",1
2021059053," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2021077633,"N","N","U","N","0","N","N","Y","N","00250","N"," "," "," "," "," "," "," ","N",1
2021054372," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2021092688," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",1
2021006008,"U","N","U","U","0","N","N","Y","Y","00007","N"," "," "," "," "," "," "," ","N",1
2021008004,"Y","U","U","U","9","U","U","U","U","01600","N"," "," "," "," "," "," "," ","N",2
2021022510,"N","U","N","N","0","N","N","U","U","99999","N"," "," "," "," "," "," "," ","N",1
2021050564,"N","N","N","N","0","N","N","Y","Y","00449","N"," "," "," "," "," "," "," ","N",2
2021038736,"N","Y","U","U","9","U","U","Y","Y","00000","N"," "," "," "," "," "," "," ","N",2
2021031405,"N","U","U","U","0","N","N","U","U","09999","N"," "," "," "," "," "," "," ","N",3
2021039645," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2021054721," "," "," "," "," "," "," "," "," ","     "," "," "," "," "," "," "," "," "," ",2
2021088242,"N","U","U","U","9","U","U","U","U","00600","N"," "," "," "," "," "," "," ","N",1
2021045463,"N","U","U","U","9","U","U","U","U","00002","N"," "," "," "," "," "," "," ","N",2
2021064204,"N","U","U","U","9","U","U","U","U","99999","N"," "," "," "," "," "," "," ","N",2
2021071323,"N","Y","Y","Y","1","Y","N","Y","Y","01500","N"," "," "," "," "," "," "," ","N",1
2021119671,"N","U","N","N","0","N","N","U","U","99999","N"," "," "," "," "," "," "," ","N",1
