"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020058913","","3","01","","67","S","3","4","","","30","4TH ST"
"2020046031","","5","01","","67","S","5","4","","","","NINTH ST"
"2020113931","3","4","1","0","67","N","4","2","1007","0080","35","STATE RD"
"2020073408","3","3","2","2269","67","W","3","2","0291","0160","25","BROAD ST"
"2020023218","","3","01","","67","S","4","4","","","20","2ND ST"
"2020094288","3","3","3","0","67","E","3","2","1002","0080","35","ADAMS AV"
"2020054452","3","4","2","0","46","S","4","2","2018","0011","35","BETHLEHEM PK"
"2020076639","","5","01","","67","E","5","4","","","20","WAKELING ST"
"2020041649","","3","02","","67","N","4","4","","","20","60TH ST"
"2020024123","1","3","02","934","67","W","3","2","0063","0053","55","WOODHAVEN RD"
"2020014884","","3","02","","67","W","3","4","","","20","W TULPEHOCKEN ST"
"2020043437","","3","02","","67","S","4","4","","","20","C ST"
"2020098492","","5","02","","67","E","5","4","","","30","W GIRARD AV"
"2020002565","","3","01","","67","N","4","4","","","25","11TH ST"
"2020014216","","3","02","","67","E","3","4","","","25","TOMLINSON RD"
"2020076962","3","3","03","2057","67","N","3","2","3019","0064","35","PASSYUNK AV"
"2020016746","","5","02","","67","E","5","4","","","20","BREWERY HILL DR"
"2020042434","3","4","02","2040","67","W","4","2","4019","0020","25","WASHINGTON LN"
"2020051369","","4","02","","67","E","3","4","","","","CONSHOHOCKEN AV"
"2020034786","","3","02","","67","W","3","4","","","30","WASHINGTON AV"
"2020001745","3","3","2","860","67","N","3","2","0013","0200","25","ROBBINS ST"
"2020012434","","6","02","","67","N","6","4","","","25","SOLLY AV"
"2020111587","3","4","4","901","67","S","4","2","0611","0131","30","BROAD ST"
"2020007378","","3","02","","67","E","4","4","","","20","BERKS ST"
"2020023147","3","3","2","1631","67","S","3","2","1004","0090","30","TORRESDALE AV"
"2020096780","3","4","4","1103","67","S","4","2","0611","0131","30","BROAD ST"
"2020041949","1","3","3","2675","67","S","3","1","0095","0211","55","DELAWARE EX"
"2020110507","3","3","2","1040","67","E","3","2","1009","0040","25","BRIDGE ST"
"2021002312","1","3","4","1671","67","S","3","1","0095","0251","55","DELAWARE EX"
"2020039189","3","4","02","3417","67","S","5","2","2009","0121","30","HARBISON AV"
"2020092373","3","3","03","856","67","E","3","2","4004","0040","25","OLNEY AV"
"2021016379","3","4","2","2250","67","S","4","2","0611","0181","30","BROAD ST"
"2020063424","3","3","02","3213","67","S","3","2","3011","0050","25","TWENTYNINTH ST"
"2020078895","3","3","3","2214","67","N","3","2","2001","0090","30","CHRISTOPHER COLUMBUS BL"
"2020003720","3","3","3","1467","67","E","3","2","2016","0070","30","ALLEGHENY AV"
"2020112097","3","3","03","0","67","S","3","2","0001","0161","40","ROOSEVELT BL"
"2020069259","","3","01","","67","W","3","4","","","20","JACKSON ST"
"2020080710","3","3","3","1116","67","N","3","2","0532","0090","35","BUSTLETON AV"
"2020077411","","3","01","","67","N","4","4","","","30","11TH ST"
"2020018016","","4","02","","67","S","4","4","","","20","22ND ST"
"2020019477","","4","02","","67","W","4","4","","","25","LUDLOW ST"
"2020089517","1","3","03","653","67","N","3","1","0095","0170","55","DELAWARE EX"
"2020029468","1","4","1","780","67","E","4","2","8002","0250","20","RAMP RD"
"2020030944","1","3","3","243","67","W","3","1","0076","3415","50","SCHUYLKILL EX"
"2020100489","1","3","2","1928","67","W","3","1","0076","3455","50","SCHUYLKILL EX"
"2020086896","3","3","1","3682","67","E","3","2","0030","0060","30","GIRARD AV"
"2020041255","","4","01","","67","W","4","4","","","20","ORLEANS ST"
"2020074540","1","3","04","1751","67","S","3","1","0095","0295","55","DELAWARE EX"
"2020012905","3","3","2","1430","67","S","3","2","1005","0100","35","CASTOR AV"
"2020083221","1","3","4","1426","67","S","3","1","0095","0261","55","DELAWARE EX"
"2020068251","","5","02","","67","W","5","4","","","","RACE ST"
"2020037263","","4","02","","67","W","3","4","","","25","WALNUT ST"
"2020096892","3","3","1","1133","67","E","3","2","3010","0040","25","MARKET ST"
"2020073543","","5","01","","67","W","5","4","","","","ORLEANS ST"
"2020058424","","3","02","","67","W","3","4","","","35","GLENWOOD AV"
"2020035400","1","3","4","2046","67","S","3","1","0095","0225","55","DELAWARE EX"
"2020084064","","3","02","","67","S","4","4","","","35","65TH ST"
"2020102384","1","3","3","869","67","S","3","1","0095","0325","55","DELAWARE EX"
"2020075108","","4","01","","67","S","4","4","","","25","MOYAMENSING AV"
"2020021598","2","3","4","376","67","E","3","2","0291","0090","45","PENROSE AV"
"2020008383","","3","02","","67","N","4","4","","","20","RAMONA AV"
"2020077322","","5","02","","67","E","5","4","","","","HUNTINGDON ST"
"2020068239","","3","01","","67","W","3","4","","","25","PARRISH ST"
"2020052546","3","4","03","61","67","E","4","2","1018","0030","30","GRANT AV"
"2020028222","3","6","2","633","67","W","6","2","1009","0015","25","BRIDGE ST"
"2020101952","","3","02","","67","N","4","4","","","20","SUMMERDALE AV"
"2020027403","3","3","4","1695","67","N","3","2","0611","0180","30","BROAD ST"
"2020074855","","4","02","","67","E","3","4","","","","SEDGLEY AV"
"2020057657","3","3","2","0","67","N","3","2","1007","0060","35","TACONY ST"
"2020048418","3","3","4","422","67","N","3","2","0611","0140","30","BROAD ST"
"2020113227","1","3","4","544","67","N","3","1","0095","0294","55","DELAWARE EX"
"2020013134","3","3","2","2010","67","S","3","2","1005","0161","30","CASTOR AV"
"2020019739","3","3","3","1752","67","N","3","2","1009","0110","25","BUSTLETON AV"
"2020094030","1","3","4","1925","67","S","3","1","0095","0301","55","DELAWARE EX"
"2020051476","3","6","2","397","67","W","6","2","3031","0011","35","MARSHALL RD"
"2020112989","3","5","3","2116","67","N","5","2","0611","0120","30","BROAD ST"
"2020043880","","4","01","","67","N","6","4","","","","MARGIE ST"
"2020006452","","3","02","","67","E","4","4","","","20","KNORR ST"
"2020102276","","4","02","","67","S","3","4","","","","HASBROOK AV"
"2020103521","","4","02","","67","N","3","4","","","20","LOCUST ST"
"2020075628","","3","02","","67","N","3","4","","","20","55TH ST"
"2020075062","3","3","3","511","67","N","3","2","0532","0060","35","BUSTLETON AV"
"2020087558","3","3","4","107","67","N","3","2","0611","0170","30","BROAD ST"
"2020087642","3","4","2","977","67","S","4","2","2009","0021","30","ARAMINGO AV"
"2020068246","3","3","2","383","67","N","3","2","3005","0140","35","BELMONT AV"
"2020020361","1","3","04","1014","67","N","3","1","0095","0240","55","DELAWARE EX"
"2020001929","","4","02","","67","S","4","4","","","","21ST ST"
"2022079283","","3","02","","67","U","4","4","","","","WYBLUGING RD"
"2020098006","","4","02","","67","W","4","4","","","20","MEDIA ST"
"2020001928","1","6","2","0","67","E","6","2","8059","0750","20","RAMP RD"
"2021002472","1","3","3","210","67","W","3","1","0076","3421","50","SCHUYLKILL EX"
"2020039487","3","3","2","881","67","E","3","2","0013","0170","30","HUNTING PARK AV"
"2020065767","","4","02","","67","W","3","4","","","","SPRINGFIELD AV"
"2020052679","3","3","2","2671","67","N","3","2","1005","0120","25","CASTOR AV"
"2020110381","","3","02","","67","S","3","4","","","25","N 22ND ST"
"2020057757","","3","01","","67","W","4","4","","","20","INDIANA AV"
"2020098358","3","3","3","1860","67","N","3","2","0013","0240","35","FRANKFORD AV"
"2020060521","","3","02","","67","E","4","4","","","20","GREENWAY AV"
"2021002295","1","3","3","1591","67","S","3","1","0095","0125","55","DELAWARE EX"
"2020054544","3","4","2","1116","67","S","4","2","4001","0081","35","HENRY AV"
"2020017014","","4","02","","67","E","3","4","","","15","TRINA DR"
"2020014637","3","4","2","0","67","S","4","2","0532","0031","35","BUSTLETON AV"
"2020040495","","4","01","","67","N","3","4","","","","FAIRHILL ST"
"2020073691","1","3","4","1584","67","S","3","1","0095","0281","55","DELAWARE EX"
"2020036669","3","3","3","1986","67","W","3","2","2014","0040","30","LEHIGH AV"
"2020076012","3","4","2","2370","67","S","4","2","3003","0051","30","UNIVERSITY AV"
"2023118220","","3","01","","67","S","4","4","","","20","15TH ST"
"2020061296","","3","01","","67","E","3","4","","","","ONTARIO ST"
"2020071206","3","4","2","962","67","S","4","2","2009","0071","30","ARAMINGO AV"
"2020089533","1","3","3","1353","67","S","3","1","0095","0221","55","DELAWARE EX"
"2020034117","3","5","2","0","67","W","5","2","4002","0110","35","GODFREY AV"
"2020089076","1","3","4","1528","67","S","3","1","0095","0281","55","DELAWARE EX"
"2020058040","3","3","02","0","67","N","6","2","0013","0070","25","THIRTYEIGHTH ST"
"2020038136","3","3","2","2565","67","N","3","2","1007","0120","35","STATE RD"
"2020093506","1","3","3","342","67","N","3","1","0095","0160","55","DELAWARE EX"
"2020042300","","6","02","","67","N","6","4","","","","TABOR RD"
"2020033082","","3","02","","67","S","3","4","","","25","GREENWAY AV"
"2020065782","3","3","2","0","67","N","3","2","2009","0020","30","ARAMINGO AV"
"2020053306","","3","01","","67","N","4","4","","","25","FRONT ST"
"2020075481","","4","02","","67","N","4","4","","","25","FORTYEIGHTH ST"
"2020043879","3","4","2","944","67","W","4","2","0073","0011","30","COTTMAN AV"
"2020113156","3","3","2","1176","67","N","3","2","4003","0090","30","ALLENS LN"
"2020091017","3","4","4","0","67","S","4","2","0611","0111","30","BROAD ST"
"2020007823","","3","01","","67","W","4","4","","","20","TASKER ST"
"2020078528","3","3","03","1037","67","N","3","2","3017","0050","35","FIFTYSECOND ST"
"2020067737","3","3","02","0","67","W","3","2","2008","0004","25","GIRARD AV"
"2020039853","1","3","3","2189","67","W","3","1","0676","0005","55","VINE STREET EX"
"2020065847","","5","02","","67","E","4","4","","","25","SUMMERDALE AV"
"2020061374","1","3","3","1365","67","W","3","1","0676","0003","55","VINE STREET EX"
"2020063297","3","3","2","3398","67","N","3","2","3021","0070","30","GRAYS FERRY AV"
"2020105882","","3","99","","67","E","4","4","","","20","MOUNT AIRY AV"
"2020088988","1","4","02","0","67","W","4","2","8061","0250","25","RAMP RD"
"2020074577","3","3","2","153","67","E","4","2","0073","0050","30","COTTMAN AV"
"2020070132","3","3","02","2527","67","N","3","2","1001","0060","35","RISING SUN AV"
"2021002244","3","3","3","0","67","S","3","2","0001","0221","40","ROOSEVELT BL"
"2020045950","1","3","3","140","67","W","3","1","0076","3421","50","SCHUYLKILL EX"
"2020072604","3","3","1","524","67","N","3","2","2007","0130","25","FRANKFORD AV"
"2020009949","","3","02","","67","E","3","4","","","25","LEVERINGTON AV"
"2020084405","","4","02","","67","W","3","4","","","","DUNCANNON AV"
"2020101165","1","3","3","2535","67","S","3","1","0095","0265","55","DELAWARE EX"
"2020023973","3","3","2","1091","67","E","3","2","0291","0170","25","BROAD ST"
"2020069461","","3","01","","67","N","4","4","","","20","16TH ST"
"2020080073","3","3","4","2212","67","N","3","2","0611","0080","30","BROAD ST"
"2020024128","3","4","2","0","67","S","4","2","1007","0101","35","STATE RD"
"2020094371","1","3","5","1581","67","S","3","1","0095","0255","55","DELAWARE EX"
"2020012260","1","3","2","369","67","S","3","2","8020","0010","20","RAMP A RD"
"2020000021","","4","01","","67","W","3","4","","","25","NORRIS ST"
"2020029516","","3","02","","67","N","3","4","","","30","GERMANTOWN AV"
"2020041249","3","3","03","1347","67","S","3","2","3005","0120","35","BELMONT AV"
"2020067892","","4","02","","67","N","4","4","","","","FIFTYSIXTH ST"
"2020052358","","3","01","","67","S","4","4","","","20","LARGE ST"
"2020077047","","4","02","","67","W","3","4","","","","CHRISTIAN ST"
"2020022864","","3","02","","67","N","3","4","","","25","KENSINGTON AV"
"2020007374","","3","02","","67","W","4","4","","","30","WASHINGTON AV"
"2020105321","3","7","3","0","67","E","7","2","3019","0010","35","BARTRAM AV"
"2021016848","","4","02","","67","S","3","4","","","","PALM ST"
"2020039039","","5","01","","67","N","4","4","","","20","GERMANTOWN AV"
"2020090865","","4","02","","67","S","3","4","","","","4TH ST"
"2020037867","","4","02","","67","N","3","4","","","25","JANNEY ST"
"2020090641","","4","01","","67","W","4","4","","","25","MERION AV"
"2020070326","","3","02","","67","E","4","4","","","20","GORGAS LN"
"2020044709","3","4","01","2451","67","S","4","2","2007","0121","25","FRANKFORD AV"
"2020109358","1","3","4","664","67","E","3","1","0076","3414","50","SCHUYLKILL EX"
"2020041239","3","3","1","817","67","E","3","2","0030","0060","30","GIRARD AV"
"2020016663","","4","01","","67","N","3","4","","","20","N GRATZ ST"
"2020025861","","4","01","","67","S","3","4","","","35","S WILTON ST"
"2020060979","3","3","2","1494","67","W","3","2","3005","0090","25","LANCASTER AV"
"2020036300","","4","01","","67","W","3","4","","","25","FEDERAL ST"
"2020023218","","4","01","","67","W","3","4","","","20","BERKS ST"
"2020013295","1","3","2","132","67","E","3","1","0076","3454","50","SCHUYLKILL EX"
"2020054452","3","6","2","0","46","N","6","2","3003","0010","40","STENTON AV"
"2020076639","3","4","03","219","67","S","4","2","1007","0031","20","TACONY ST"
"2020060675","","5","02","","67","E","5","4","","","","GILHAM ST"
"2020095299","3","3","1","964","67","N","3","2","3003","0064","25","THIRTYEIGHTH ST"
"2020016417","1","3","3","2583","67","W","3","1","0076","3435","50","SCHUYLKILL EX"
"2020043264","3","3","2","275","67","E","3","2","1005","0040","25","CASTOR AV"
"2020108032","","4","02","","67","E","4","4","","","25","MONUMENT RD"
"2020002565","","4","02","","67","W","3","4","","","","SUSQUEHANNA AV"
"2020012668","3","3","2","976","67","W","3","2","1014","0010","35","RHAWN ST"
"2020078381","1","3","2","2668","67","E","3","1","0076","3444","50","SCHUYLKILL EX"
"2020036340","3","3","2","599","67","N","3","2","3005","0090","25","LANCASTER AV"
"2020081951","1","3","3","1244","67","W","3","1","0076","3465","50","SCHUYLKILL EX"
"2020058915","","4","01","","67","W","3","4","","","","OSAGE AV"
"2020065131","","3","02","","67","W","3","4","","","25","CHELTEN AV"
"2020010020","1","3","3","2083","67","E","3","1","0676","0004","55","VINE STREET EX"
"2020006866","3","3","2","1312","67","S","3","2","1001","0040","35","RISING SUN AV"
"2020079648","3","3","2","1695","67","N","3","2","2009","0100","30","HARBISON AV"
"2020032078","","3","02","","67","S","4","4","","","20","OLD YORK RD"
"2020064425","1","3","4","1800","67","N","3","1","0095","0114","55","DELAWARE EX"
"2020094085","","3","01","","67","S","4","4","","","20","GRATZ ST"
"2020053995","","4","01","","67","W","3","4","","","","SPRUCE ST"
"2020079560","3","4","02","0","67","W","4","2","3002","0021","40","EIGHTYFOURTH ST"
"2021011192","3","4","2","309","67","S","4","2","3005","0131","35","BELMONT AV"
"2020032623","","3","99","","67","E","3","4","","","25","EMLEN ST"
"2020092326","3","4","2","0","67","S","4","2","1013","0061","30","ACADEMY RD"
"2021002488","1","3","3","615","67","S","3","1","0095","0131","55","DELAWARE EX"
"2020054010","3","3","03","1210","67","E","3","2","2016","0090","30","ALLEGHENY AV"
"2020083013","","5","02","","67","E","5","4","","","","NORWALK RD"
"2020048728","3","3","02","3242","67","E","5","2","2006","0064","25","SPRING GARDEN ST"
"2020080061","","3","02","","67","S","4","4","","","20","13TH ST"
"2020113271","1","3","3","903","67","E","3","1","0076","3420","50","SCHUYLKILL EX"
"2020005409","3","5","3","46","67","S","3","2","6001","0285","40","ROOSEVELT BL"
"2020106820","","5","02","","67","W","5","4","","","","LINDLEY AV"
"2020031897","1","4","2","0","67","S","4","2","8035","0500","20","RAMP RD"
"2020028097","","3","02","","67","W","4","4","","","20","KNORR ST"
"2020097580","","4","02","","67","S","4","4","","","","NINETEENTH ST"
"2020020355","1","3","3","172","67","S","3","1","0095","0151","55","DELAWARE EX"
"2020027990","","3","02","","67","S","3","4","","","20","2ND ST"
"2020112540","","4","01","","67","W","3","4","","","","MCKEAN ST"
"2020010094","3","3","01","0","67","N","3","2","3005","0060","25","THIRTYTHIRD ST"
"2020030676","","4","02","","67","W","3","4","","","25","CALLOWHILL ST"
"2020063032","3","3","3","1146","67","S","3","2","3005","0110","35","BELMONT AV"
"2020003997","","5","02","","67","W","5","4","","","25","ONTARIO ST"
"2020048749","","3","01","","67","S","4","4","","","20","59TH ST"
"2020020493","3","6","2","0","67","S","6","2","2009","0121","30","HARBISON AV"
"2020037263","","3","02","","67","N","4","4","","","25","LIMEKILN PK"
"2020064034","1","3","4","756","67","N","3","1","0095","0270","55","DELAWARE EX"
"2020059552","3","4","02","1874","67","S","5","2","1009","0071","25","BUSTLETON AV"
"2020102654","","3","02","","67","E","4","4","","","15","DIAMOND ST"
"2020033871","3","3","02","777","67","E","5","2","2006","0080","25","SPRING GARDEN ST"
"2020084064","","4","02","","67","W","3","4","","","","EASTWICK AV"
"2020084163","3","3","2","2384","67","S","3","2","4005","0020","25","GERMANTOWN AV"
