"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2023071185","1GR1A0620M","1","PA","PT965J3","2021","7","2"
"2023059485","1VRC1147N1","1","NJ","TJF52W","2017","3","2"
"2023089543","43YDC1429D","1","PA","XHL8445","2027","3","2"
"2023086475","","1","","","","5","1"
"2023086476","5E0AA1643P","1","MS","156322A","2023","6","1"
"2023087594","3H3V482C5M","1","IL","790855ST","2021","7","2"
"2023027659","1234567891","1","IN","PC23475","2023","7","2"
"2023095779","2M5921618Y","1","ME","3113594","2025","7","1"
"2023076386","1L9U208123","1","PA","XKM3153","2003","3","2"
"2023071566","1GR1A5614L","1","NJ","TVM62J","2020","7","3"
"2023053425","5HTAB43274","1","NJ","TQ0U1Z","2027","7","1"
"2023063424","YAFTLS00XH","1","ME","2924265","2024","7","1"
"2023099688","","1","","","","9","1"
"2023039736","9999999999","1","ZZ","999999999999","9999","7","2"
"2023039943","1E1Z2Y285L","1","PA","PT258HD","2024","7","2"
"2023086135","3728141","1","ZZ","3728141","2023","7","1"
"2023065603","2M592161XK","1","QC","RK2606A7","2023","7","1"
"2023079738","4T0FB101XB","1","NC","CL97473","2022","7","1"
"2023086124","1RID03437X","1","NJ","TWM62G","2024","7","2"
"2023091472","1E1U2Y280F","1","PA","PT258H2","2015","7","1"
"2023054813","5V8VC5327P","1","PA","PT629L2","2023","7","1"
"2023052260","1UYVS2537J","1","PA","PT151R3","2023","7","1"
"2023068510","1S9WA4521C","1","PA","MG2079G","9999","7","1"
"2023034959","1UYVS2459G","1","ME","2559372","2023","7","1"
"2023047608","1PMA14321G","1","NJ","TPW49Y","2023","7","1"
"2023099688","9999999999","1","ZZ","160426T","2021","7","2"
"2023030380","1JJV532B8K","1","NE","271793","2099","7","1"
"2023072231","5HTAM442X2","1","ME","3141928","2031","7","2"
"2023010149","1JJV532D6M","1","LA","J722575","2021","7","2"
"2023049111","9999999999","1","IL","896044","2023","7","4"
"2023065096","3H3V532C3L","1","TN","016398","2020","7","2"
"2023074933","1TKH04324F","1","PA","XY05007","2023","7","2"
"2023101770","5E0AA1640P","1","OK","CE9656","2024","7","2"
"2023093971","5HTSP4220W","1","TN","P519526","2023","6","2"
"2023086739","1GRAA0623B","1","TN","197286T","2024","7","1"
"2023092354","1RNF48A20R","1","PA","PT03394","2023","7","1"
"2023065052","1JJV532D3H","1","IN","PB60977","2017","7","2"
"2023051350","3H3V532K0N","1","ME","4014994","2022","7","1"
"2023109399","1GR1A0623L","1","IN","3510473","2019","7","2"
"2023056951","1C9AZ1478Y","1","PA","PT911P3","2024","7","1"
"2023085152","1UYVS2531K","1","ME","3233705","2031","7","1"
"2023048010","1JJV532W55","1","ME","5041500","2024","7","2"
"2023118758","1UYVS2539C","1","IL","T494684","2024","7","2"
"2023018092","LJRC4626XG","1","ME","5008120","2014","7","1"
"2023040614","1GRAP062XK","1","TN","U969346","2024","7","2"
"2023106985","478T04321S","1","NJ","TWD10J","2023","7","1"
"2023051368","1GRAA9625J","1","IN","PB47147","2023","6","1"
"2023069582","1UYVS2538D","1","NC","DB12444","2013","7","1"
"2023095104","9999999999","1","ZZ","999999999999","9999","7","1"
"2023021712","5JWCA1022K","1","PA","XLN8477","2024","3","2"
"2023078290","9999999999","1","ZZ","9999999999","9999","3","2"
"2023069745","1GR1P0626N","1","IL","793539ST","2024","7","1"
"2023051376","1J9AH42208","1","PA","PT466R4","2023","7","2"
"2023058007","1P9XT4026N","1","TN","2068996T","2023","7","2"
"2023035540","3H3V532C0L","1","ME","256574A","2023","7","1"
"2023041799","9999999999","1","ZZ","999999999999","9999","7","1"
