"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020014604","","51","N","3","1","","2","12","Y","TOYT","2001","","","","","","","","02","5TENL42N61Z","1","","1","00","Y","S","045","","","1","01","05","15","06","PA","1","04","TPK"
"2020031329","","","N","9","4","","1","99","U","ACUR","","","","","","","","","00","","1","","1","00","N","S","002","0","","1","05","12","01","03","","1","99",""
"2020054705","","04","N","3","1","","3","12","Y","HYUN","2017","","","","","","","","03","5NPD74LF1HH","1","","1","00","Y","E","060","0","","1","01","07","01","01","MD","1","01","P4D"
"2020076732","","15","N","3","1","","1","07","Y","TOYT","2009","","","","","","","","02","JTMBF31V695","1","","1","00","Y","E","050","","","3","01","02","01","06","PA","2","06","T4W"
"2020034597","","15","N","2","1","","1","11","U","KIA","2008","","","","","","","","02","KNDJF724987","1","","1","00","Y","E","045","0","","1","01","12","01","09","NJ","1","06","T4W"
"2020037644","","15","N","3","2","","1","07","Y","HOND","2004","","","","","","","","","JHLRD78424C","0","","4","00","Y","S","000","","","2","06","02","06","12","MD","2","06","T4W"
"2020046529","","24","N","9","1","","1","99","U","UNKN","","","","","","","","","99","99999999999","1","","1","00","N","N","020","","","1","01","99","01","13","","1","13",""
"2020022555","","09","N","1","1","","1","06","Y","MAZD","2019","","","","","","","","02","JM1GL1VM9K1","1","","1","00","N","W","015","","","2","01","05","02","06","NJ","2","01","P"
"2020037546","","73","Y","3","1","","1","01","Y","ISU","2014","","","","","","","","02","JALC4W165E7","1","","1","00","Y","N","055","","","1","01","03","15","01","MD","1","05","TTB"
"2020030941","","42","Y","3","1","","1","11","Y","FRHT","2004","","","","","","","","02","4UZAANCP24C","1","","1","00","Y","N","070","","","1","01","03","15","01","PA","1","05","TSN"
"2020065123","9","28","N","3","1","0","1","12","U","CANA","2016","","","","","","","","02","2BXRDDD2XGV","2","12","1","43","Y","N","050","0","2","1","01","03","01","01","PA","1","02","MRC"
"2020014885","","12","N","1","1","","1","01","Y","JEEP","1997","","","","","","","","01","1J4FY29P5VP","2","","1","00","N","S","010","","","2","01","02","12","13","PA","2","06","T2W"
"2020017328","","02","N","3","1","","1","06","Y","CADI","2012","","","","","","","","01","1G6DL1E30C0","2","","1","00","Y","E","025","","","2","01","05","01","06","PA","2","01","PCP"
"2020033701","","09","N","9","1","","5","06","Y","DODG","2019","","","","","","","","02","2C3CDXCT0KH","1","","1","00","N","W","030","","","2","01","02","01","03","PA","2","01","P"
"2020031790","","04","N","3","1","","1","02","U","BMW","2011","","","","","","","","01","WBAFR7C50BC","1","","1","00","Y","E","055","","","1","01","07","01","01","PA","1","01","P4D"
"2020079881","","04","N","2","1","","1","12","Y","BUIC","2010","","","","","","","","02","1G4GC5EG9AF","3","","1","00","N","N","035","0","","3","01","09","01","06","PA","2","01","P4D"
"2020084161","","04","N","2","1","","1","02","Y","DODG","2009","","","","","","","","01","2B3KA43D09H","1","","1","00","N","E","010","0","","2","01","05","12","04","PA","2","01","P4D"
"2020017149","","04","N","3","2","","1","06","Y","NISS","2010","","","","","","","","","1N4AL2AP5AC","0","","1","00","Y","","000","","","2","02","05","06","09","PA","2","01","P4D"
"2020037339","","15","N","1","1","","1","08","Y","CHEV","2008","","","","","","","","01","3GNDA13D18S","1","","1","00","N","S","050","","","2","01","07","01","01","PA","2","06","T4W"
"2020022056","","41","N","1","1","","1","12","Y","CHEV","2004","","","","","","","","01","1GCGG25V241","1","","1","46","N","S","005","0","","1","01","03","02","06","PA","1","07","TCG"
"2020010631","","15","N","2","2","","1","12","U","KIA","2014","","","","","","","","","KNDJP3A59E7","0","","1","00","N","N","000","","","3","02","03","06","99","PA","2","06","T4W"
"2020035267","","","","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","3","30","","99","99","","2","31",""
"2020076728","","04","N","2","1","","1","12","Y","NISS","2011","","","","","","","","01","3N1AB6AP5BL","2","","1","00","N","W","050","","","1","01","03","01","03","PA","1","01","P4D"
"2020071211","","69","N","3","1","","1","03","U","BENT","2020","","","","","","","","02","SJAAM2ZV0LC","2","","1","00","Y","W","015","","","2","01","05","01","13","PA","2","06","T"
"2020039826","","15","N","1","1","","1","09","Y","MASE","2017","","","","","","","","01","ZN661XUL9HX","1","","1","00","N","E","050","","","2","01","02","01","06","PA","2","06","T4W"
"2020031443","","15","N","1","2","","1","03","Y","KIA","2013","","","","","","","","","KNDPBCA22D7","0","","1","00","N","","000","","","3","02","05","06","03","PA","2","06","T4W"
"2020023672","","","","","","","","","","","","Y","04","99","1","U","01","U","","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020016283","","69","Y","2","1","","1","12","Y","BLUB","2018","","","","","","","","02","1BAKGCEA5JF","2","","1","11","N","S","025","0","","1","01","06","02","01","PA","1","03","T"
"2020003530","","04","N","2","1","","1","10","Y","HOND","2007","","","","","","","","01","1HGCM55737A","1","","1","00","N","N","035","0","","2","01","05","01","10","PA","2","01","P4D"
